year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1946,3259.26,-0.428,0.699,-1.396,2.278
1947,3259.26,-1.902,0.504,-6.2,1.671
1948,3259.26,-0.312,0.504,-1.018,1.643
1949,3259.26,0.609,0.523,1.986,1.708
1950,3259.26,-0.332,0.519,-1.082,1.694
1951,3259.26,-0.402,0.523,-1.312,1.706
1952,3259.26,0.43,0.523,1.401,1.706
1953,3259.26,-0.467,0.523,-1.522,1.707
1954,3259.26,-0.602,0.523,-1.961,1.708
1955,3259.26,-0.195,0.523,-0.635,1.705
1956,3259.26,0.011,0.523,0.037,1.705
1957,3259.26,0.117,0.523,0.382,1.705
1958,3259.26,0.027,0.523,0.087,1.705
1959,3259.26,-0.818,0.523,-2.667,1.71
1960,3259.26,-1.08,0.523,-3.52,1.714
1961,3259.26,-0.4,0.523,-1.305,1.706
1962,3259.26,1.191,0.459,3.88,1.51
1963,3259.26,-0.57,0.434,-1.857,1.417
1964,3259.26,0.405,0.434,1.319,1.415
1965,3259.26,0.583,0.434,1.899,1.417
1966,3250.46,-0.742,0.434,-2.413,1.415
1967,3241.69,0.846,0.434,2.742,1.413
1968,3232.93,0.159,0.434,0.513,1.403
1969,3224.21,-1.429,0.434,-4.607,1.418
1970,3215.5,-1.065,0.375,-3.423,1.219
1971,3206.82,0.384,0.375,1.232,1.205
1972,3198.16,-0.533,0.375,-1.706,1.204
1973,3189.53,0.853,0.375,2.722,1.205
1974,3180.91,0.182,0.375,0.58,1.194
1975,3172.32,0.399,0.375,1.267,1.193
1976,3163.76,0.555,0.375,1.755,1.191
1977,3155.22,-0.361,0.375,-1.139,1.186
1978,3146.7,-0.605,0.375,-1.904,1.185
1979,3138.2,-0.064,0.375,-0.202,1.178
1980,3129.73,-1.209,0.375,-3.785,1.19
1981,3121.28,0.025,0.375,0.077,1.172
1982,3112.85,-0.168,0.374,-0.524,1.163
1983,3104.45,0.591,0.374,1.835,1.163
1984,3096.06,0.195,0.374,0.604,1.157
1985,3087.71,-0.921,0.374,-2.844,1.162
1986,3079.37,-0.399,0.368,-1.228,1.134
1987,3071.05,0.598,0.368,1.838,1.133
1988,3062.76,-1.387,0.361,-4.247,1.127
1989,3054.49,1.565,0.351,4.779,1.1
1990,3046.25,0.778,0.35,2.371,1.074
1991,3038.02,0.09,0.35,0.274,1.064
1992,3029.82,0.994,0.35,3.011,1.072
1993,3021.64,0.943,0.35,2.848,1.068
1994,3013.48,0.059,0.36,0.177,1.085
1995,3005.34,0.659,0.36,1.98,1.087
1996,2997.23,-0.477,0.35,-1.429,1.052
1997,2989.14,-0.356,0.35,-1.063,1.048
1998,2981.07,-0.148,0.35,-0.44,1.044
1999,2973.02,-0.44,0.35,-1.308,1.043
2000,2964.99,0.617,0.35,1.83,1.043
2001,2956.98,-1.172,0.35,-3.465,1.05
2002,2949.0,-1.29,0.35,-3.804,1.05
2003,2941.04,-1.533,0.35,-4.509,1.055
2004,2933.1,-0.414,0.354,-1.215,1.04
2005,2925.18,0.124,0.35,0.362,1.025
2006,2917.28,-2.032,0.35,-5.928,1.064
2007,2909.4,0.254,0.351,0.739,1.021
2008,2901.55,0.125,0.35,0.364,1.017
2009,2893.71,-0.38,0.35,-1.1,1.015
2010,2885.9,-1.184,0.35,-3.417,1.025
2011,2878.11,-1.167,0.35,-3.36,1.022
2012,2870.34,0.638,0.35,1.832,1.01
2013,2862.59,-1.401,0.357,-4.009,1.042
2014,2854.86,-1.027,0.354,-2.933,1.022
2015,2847.15,0.692,0.35,1.971,1.002
2016,2839.46,-0.487,0.35,-1.383,0.997
2017,2831.8,0.315,0.35,0.893,0.993
2018,2824.15,-1.539,0.35,-4.346,1.013
2019,2816.53,-0.586,0.35,-1.65,0.99
2020,2808.92,0.566,0.35,1.59,0.987
2021,2801.34,-0.917,0.35,-2.569,0.99
2022,2793.77,-0.253,0.35,-0.707,0.979
2023,2786.23,-1.145,0.35,-3.19,0.989
2024,2778.71,-2.306,0.35,-6.408,1.025
2025,2771.2,-0.386,0.35,-1.07,0.972
