year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1946,35403.41,-0.543,0.353,-19.233,12.551
1947,35403.41,-1.154,0.353,-40.867,12.68
1948,35403.41,-0.429,0.353,-15.204,12.537
1949,35403.41,-0.028,0.353,-1.001,12.514
1950,35403.41,-0.639,0.353,-22.635,12.565
1951,35403.41,-0.649,0.353,-22.962,12.567
1952,35403.41,-0.279,0.353,-9.889,12.524
1953,35403.41,-0.535,0.353,-18.932,12.55
1954,35403.41,-0.722,0.353,-25.554,12.579
1955,35403.41,-0.462,0.353,-16.356,12.541
1956,35403.41,-0.435,0.353,-15.391,12.538
1957,35403.41,-0.453,0.353,-16.04,12.54
1958,35403.41,-0.471,0.353,-16.689,12.542
1959,35403.41,-0.649,0.353,-22.988,12.567
1960,35403.41,-1.032,0.353,-36.551,12.647
1961,35403.41,-0.659,0.353,-23.317,12.569
1962,35403.41,-0.102,0.353,-3.626,12.516
1963,35403.41,-0.39,0.353,-13.799,12.533
1964,35403.41,-0.103,0.353,-3.631,12.516
1965,35403.41,-0.071,0.353,-2.504,12.515
1966,35403.41,-0.55,0.353,-19.455,12.552
1967,35403.41,-0.272,0.257,-9.63,9.128
1968,35403.41,0.258,0.353,9.14,12.522
1969,35403.41,-0.561,0.353,-19.875,12.553
1970,35403.41,-0.213,0.353,-7.545,12.52
1971,35403.41,-0.196,0.353,-6.93,12.519
1972,35403.41,0.059,0.353,2.075,12.514
1973,35403.41,0.273,0.353,9.663,12.523
1974,35403.41,-0.583,0.353,-20.629,12.556
1975,35403.41,0.064,0.353,2.259,12.514
1976,35403.41,-0.076,0.353,-2.697,12.515
1977,35403.41,0.248,0.353,8.785,12.522
1978,35403.41,-0.197,0.353,-6.965,12.519
1979,35403.41,-0.362,0.353,-12.83,12.53
1980,35403.41,-0.127,0.308,-4.484,10.898
1981,35403.41,-0.182,0.353,-6.427,12.518
1982,35403.41,0.313,0.353,11.075,12.526
1983,35403.41,0.104,0.353,3.671,12.515
1984,35403.41,-0.382,0.353,-13.538,12.532
1985,35403.41,-0.192,0.353,-6.796,12.518
1986,35403.41,0.059,0.353,2.086,12.514
1987,35403.41,0.467,0.336,16.526,11.925
1988,35403.41,-0.195,0.336,-6.916,11.901
1989,35403.41,-0.152,0.298,-5.366,10.565
1990,35403.41,-0.453,0.298,-16.022,10.591
1991,35311.36,0.254,0.298,8.956,10.543
1992,35219.55,-0.009,0.298,-0.326,10.506
1993,35127.98,-0.633,0.298,-22.237,10.538
1994,35036.65,0.218,0.297,7.624,10.396
1995,34945.55,-0.315,0.297,-11.02,10.386
1996,34854.69,-0.555,0.297,-19.334,10.39
1997,34764.07,-0.069,0.297,-2.403,10.319
1998,34673.68,-0.533,0.297,-18.483,10.332
1999,34583.53,-0.155,0.295,-5.358,10.209
2000,34493.61,0.036,0.295,1.239,10.179
2001,34403.93,-0.517,0.295,-17.787,10.191
2002,34314.48,-0.185,0.295,-6.347,10.121
2003,34225.26,-0.493,0.292,-16.888,10.032
2004,34136.28,-0.642,0.292,-21.931,10.03
2005,34047.52,-0.373,0.292,-12.699,9.964
2006,33959.0,-0.176,0.27,-5.975,9.167
2007,33870.71,-0.183,0.273,-6.193,9.24
2008,33782.64,0.088,0.273,2.957,9.208
2009,33694.81,-0.412,0.271,-13.899,9.174
2010,33607.2,-0.016,0.271,-0.553,9.124
2011,33519.82,-0.612,0.27,-20.529,9.094
2012,33432.67,0.037,0.27,1.249,9.013
2013,33345.75,-0.649,0.267,-21.632,8.97
2014,33259.05,0.014,0.267,0.466,8.881
2015,33172.57,-0.432,0.267,-14.338,8.887
2016,33086.33,-0.718,0.267,-23.772,8.914
2017,33000.3,-0.323,0.267,-10.658,8.828
2018,32914.5,-0.52,0.267,-17.11,8.83
2019,32828.92,-0.398,0.27,-13.073,8.88
2020,32743.57,-1.283,0.293,-42.021,9.825
2021,32658.43,-0.435,0.27,-14.205,8.838
2022,32573.52,-1.184,0.29,-38.555,9.654
2023,32488.83,-0.639,0.325,-20.76,10.598
2024,32404.36,-1.603,0.325,-51.957,10.836
2025,32320.11,-1.208,0.331,-39.058,10.868
