year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1976,3157.76,-0.128,0.84,-0.405,2.651
1977,3120.18,-0.221,0.84,-0.689,2.62
1978,3083.05,0.14,0.84,0.432,2.589
1979,3046.36,0.26,0.84,0.792,2.558
1980,3010.11,0.17,0.84,0.51,2.527
1981,2974.29,0.184,0.84,0.548,2.497
1982,2938.9,-0.495,0.84,-1.453,2.468
1983,2903.92,0.999,0.84,2.902,2.442
1984,2869.37,-0.207,0.84,-0.593,2.409
1985,2835.22,0.179,0.84,0.508,2.38
1986,2801.48,-0.319,0.84,-0.893,2.352
1987,2768.14,0.328,0.84,0.908,2.324
1988,2735.2,0.657,0.84,1.798,2.298
1989,2702.66,-0.212,0.84,-0.572,2.269
1990,2670.49,-0.221,0.84,-0.591,2.242
1991,2638.71,-0.114,0.84,-0.301,2.215
1992,2607.31,-1.072,0.444,-2.794,1.166
1993,2576.29,0.344,0.444,0.887,1.145
1994,2545.63,-0.26,0.444,-0.661,1.131
1995,2515.34,-1.23,0.543,-3.094,1.374
1996,2485.4,-0.619,0.543,-1.537,1.352
1997,2455.83,0.146,0.543,0.359,1.334
1998,2426.6,-1.62,0.543,-3.931,1.332
1999,2397.73,-0.074,0.543,-0.178,1.302
2000,2369.19,0.118,0.543,0.279,1.286
2001,2341.0,0.02,0.543,0.047,1.271
2002,2313.14,-0.525,0.543,-1.214,1.257
2003,2285.62,-0.774,0.538,-1.77,1.234
2004,2258.42,-0.797,0.538,-1.799,1.219
2005,2231.54,-1.512,0.465,-3.374,1.052
2006,2204.99,-0.448,0.46,-0.988,1.016
2007,2178.75,-0.402,0.46,-0.876,1.004
2008,2152.82,0.871,0.46,1.874,0.995
2009,2127.2,-0.681,0.457,-1.449,0.976
2010,2101.89,-1.055,0.457,-2.217,0.968
2011,2076.88,-0.12,0.457,-0.25,0.95
2012,2052.16,-0.084,0.457,-0.173,0.939
2013,2027.74,-0.131,0.457,-0.265,0.928
2014,2003.61,-0.131,0.457,-0.263,0.917
2015,1979.77,-0.143,0.457,-0.283,0.906
2016,1956.21,-1.301,0.457,-2.544,0.904
2017,1932.93,-0.465,0.457,-0.899,0.885
2018,1909.93,-0.057,0.457,-0.109,0.874
2019,1887.2,-0.448,0.457,-0.846,0.864
2020,1864.74,-0.659,0.46,-1.228,0.86
2021,1842.55,0.017,0.457,0.031,0.843
2022,1820.62,-0.214,0.457,-0.389,0.833
2023,1798.96,-0.735,0.457,-1.323,0.826
2024,1777.55,-1.355,0.46,-2.408,0.826
2025,1756.4,-0.532,0.567,-0.935,0.997
