year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1946,18937.03,0.023,0.618,0.427,11.709
1947,18937.03,0.423,0.618,8.003,11.715
1948,18937.03,0.583,0.618,11.034,11.722
1949,18937.03,0.993,0.618,18.798,11.746
1950,18937.03,-0.117,0.618,-2.222,11.709
1951,18937.03,-0.277,0.618,-5.252,11.712
1952,18937.03,0.223,0.618,4.216,11.71
1953,18834.77,-0.238,0.681,-4.474,12.83
1954,18733.07,0.412,0.84,7.716,15.749
1955,18631.91,0.892,0.681,16.62,12.717
1956,18531.3,0.184,0.681,3.409,12.623
1957,18431.23,0.134,0.681,2.474,12.554
1958,18331.7,-1.632,0.681,-29.912,12.575
1959,18232.71,0.417,0.681,7.597,12.424
1960,18134.25,-0.261,0.681,-4.732,12.353
1961,18036.32,-0.382,0.681,-6.887,12.289
1962,17938.93,0.202,0.681,3.62,12.219
1963,17842.06,-0.376,0.681,-6.706,12.157
1964,17745.71,1.312,0.681,23.284,12.142
1965,17649.88,0.084,0.617,1.482,10.894
1966,17554.57,0.082,0.581,1.433,10.194
1967,17459.78,-0.26,0.581,-4.532,10.141
1968,17365.5,0.293,0.581,5.087,10.087
1969,17271.72,0.076,0.581,1.305,10.029
1970,17178.46,-0.604,0.581,-10.373,9.988
1971,17085.69,0.228,0.581,3.893,9.923
1972,16993.43,0.278,0.581,4.727,9.87
1973,16901.67,0.157,0.581,2.646,9.815
1974,16810.4,0.55,0.581,9.237,9.772
1975,16719.62,0.157,0.569,2.619,9.513
1976,16629.33,0.897,0.569,14.912,9.49
1977,16539.54,-0.256,0.569,-4.241,9.412
1978,16450.22,-0.147,0.569,-2.423,9.36
1979,16361.39,-1.09,0.569,-17.833,9.351
1980,16273.04,-0.113,0.569,-1.846,9.259
1981,16185.17,-0.306,0.581,-4.946,9.401
1982,16097.77,-0.044,0.569,-0.705,9.159
1983,16010.84,-0.145,0.569,-2.327,9.11
1984,15924.38,0.182,0.562,2.901,8.951
1985,15838.39,-0.377,0.562,-5.968,8.906
1986,15752.86,-0.21,0.562,-3.303,8.855
1987,15667.79,-0.235,0.562,-3.684,8.807
1988,15583.19,0.034,0.562,0.532,8.758
1989,15499.04,-0.552,0.562,-8.562,8.721
1990,15415.34,-0.608,0.562,-9.37,8.672
1991,15332.1,-0.391,0.562,-6.0,8.618
1992,15249.31,-0.898,0.562,-13.691,8.594
1993,15166.96,-1.031,0.562,-15.632,8.556
1994,15085.06,-0.84,0.562,-12.67,8.498
1995,15003.6,-0.63,0.562,-9.458,8.442
1996,14922.58,0.139,0.562,2.08,8.383
1997,14842.0,-0.402,0.562,-5.974,8.343
1998,14761.85,-1.438,0.562,-21.234,8.36
1999,14682.14,0.877,0.562,12.883,8.273
2000,14602.86,0.569,0.562,8.307,8.214
2001,14524.0,-0.536,0.562,-7.786,8.168
2002,14445.57,-0.262,0.562,-3.779,8.117
2003,14367.56,-0.968,0.562,-13.912,8.101
2004,14289.98,-1.297,0.562,-18.53,8.081
2005,14212.81,-1.4,0.559,-19.893,8.01
2006,14136.06,-0.994,0.559,-14.05,7.936
2007,14059.73,-0.282,0.559,-3.971,7.865
2008,13983.81,0.177,0.559,2.477,7.821
2009,13908.29,-0.883,0.559,-12.279,7.802
2010,13833.19,0.053,0.559,0.727,7.735
2011,13758.49,0.301,0.559,4.137,7.696
2012,13684.19,0.574,0.559,7.86,7.662
2013,13610.3,-1.256,0.559,-17.099,7.659
2014,13536.8,-0.93,0.592,-12.586,8.036
2015,13463.71,-1.715,0.559,-23.097,7.617
2016,13391.0,-0.914,0.559,-12.245,7.513
2017,13318.69,-0.678,0.559,-9.034,7.461
2018,13246.77,-0.877,0.559,-11.613,7.43
2019,13175.24,-1.585,0.559,-20.882,7.441
2020,13104.09,-0.647,0.559,-8.475,7.344
2021,13033.33,-1.489,0.559,-19.408,7.356
2022,12962.95,-0.701,0.559,-9.088,7.267
2023,12892.95,-2.557,0.559,-32.963,7.399
2024,12823.33,-1.496,0.559,-19.187,7.238
2025,12754.08,-1.86,0.56,-23.724,7.234
